year,topic_name,mean_theta,topic,top_terms,label_vorlaeufig,interpretation_kurz,brauchbar
2022,Topic_7,0.04856577901369017,7,"hartz, kfw, hartz_hartz, atalanta, weimarer, europol, erdogan, syrische, bundesagentur, bnd",Bundeswehr / NATO / Balkan,NA,TRUE
2022,Topic_11,0.049122080666872556,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",USA / Trump / Amerika,NA,TRUE
2022,Topic_12,0.05324878018383793,12,"rhein, chemnitz, neckar, rhein_neckar, schielke, ziesing, schielke_ziesing, sarai, djir_sarai, djir",Euro / Corona / Finanzpolitik,NA,TRUE
2022,Topic_13,0.049607724755072635,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",Ostdeutschland / Sachsen / Berlin,NA,TRUE
2022,Topic_15,0.06006217917163908,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",UN / Mali / Sahel,NA,TRUE
2023,Topic_1,0.04819083358825797,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Israel / Libanon / Hamas,NA,TRUE
2023,Topic_2,0.050004799647639785,2,"cannabis, willy, bamf, amri, bundesamt, cannabis_cannabis, bundesamtes, maaßen, verfassungsschutz, kfor",Türkei / Syrien / Irak,NA,TRUE
2023,Topic_3,0.04672191153069897,3,"ezb, chemnitz, äthiopien, bundesbank, zentralbank, ezb_ezb, eritrea, menschenrechte, aachen, zwickau",Afrika / Entwicklung / BMZ,NA,FALSE
2023,Topic_4,0.04878202744055092,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Bundesländer / Raumbezüge,NA,TRUE
2023,Topic_6,0.04861820358354065,6,"for, portugal, iwf, saarland, amazon, internationalen, esm, bmu, gap, irland",EU / Großbritannien / Kommission,NA,TRUE
2023,Topic_7,0.04758166655097007,7,"hartz, kfw, hartz_hartz, atalanta, weimarer, europol, erdogan, syrische, bundesagentur, bnd",Bundeswehr / NATO / Balkan,NA,TRUE
2023,Topic_11,0.052339140884452205,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",USA / Trump / Amerika,NA,TRUE
2023,Topic_12,0.052093183627637804,12,"rhein, chemnitz, neckar, rhein_neckar, schielke, ziesing, schielke_ziesing, sarai, djir_sarai, djir",Euro / Corona / Finanzpolitik,NA,TRUE
2023,Topic_13,0.050943347987413276,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",Ostdeutschland / Sachsen / Berlin,NA,TRUE
2023,Topic_15,0.05369466524435377,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",UN / Mali / Sahel,NA,TRUE
